date,KOSPI_rebased,EEM_rebased,foreign_netbuy,kospi_ret,eem_ret,korea_alpha,dxy_chg,fed_net_liquidity
2025-12-08,133.19346333828568,113.31949019173366,3211.0,0.013365762753929866,-0.0021922457566183606,0.015558008510548227,0.0010101876581383173,5596911.0
2025-12-09,132.8312059470758,113.13277481450912,-889.0,-0.002719783554916866,-0.0016476898802547657,-0.0010720936746621001,0.0013119879666680934,5595403.0
2025-12-10,132.5571219078378,114.39833049549736,3739.0,-0.002063400970305218,0.011186463719847994,-0.013249864690153212,-0.004333806691045106,5675312.0
2025-12-11,131.7755675914955,113.85891437826216,3656.0,-0.00589598133313185,-0.004715244662215068,-0.0011807366709167821,-0.004453916766156141,5677483.0
2025-12-12,133.58809113458662,112.5311202381991,414.0,0.01375462520267745,-0.01166174951968968,0.02541637472236713,0.0005084194461981717,5679519.0
2025-12-15,131.1334580303532,112.19916565121336,-9569.0,-0.018374640159806055,-0.002949891428105089,-0.015424748731700966,-0.0025406503671064895,5677756.0
2025-12-16,128.2014866750311,111.48998774193656,-10305.0,-0.022358682515971173,-0.006320705730391563,-0.01603797678557961,0.0,5678803.0
2025-12-17,130.03773234042177,110.69032077780886,-322.0,0.014323123023099127,-0.007172545089687232,0.02149566811278636,0.002241479544400571,5713407.0
2025-12-18,128.05338581053937,111.95295537462944,-3459.0,-0.015259774945072357,0.011406910630922251,-0.02666668557599461,0.0006099172198692493,5712060.0
2025-12-19,128.88816032867544,113.04723223643936,-7573.0,0.006518957018217142,0.009774434789578512,-0.0032554777713613703,0.0017270971087903764,5720721.0
2025-12-22,131.62522052142808,113.65749674868,11017.0,0.02123593187902517,0.005398314493576306,0.015837617385448866,-0.0031439915151226794,5722245.0
2025-12-23,131.99034241173447,114.2888140470903,9551.0,0.0027739508344981623,0.0055545592369175,-0.002780608402419338,-0.003560875682785958,5717875.0
2025-12-24,131.71145290133452,114.52028979414348,5225.0,-0.002112953912415727,0.0020253578531119754,-0.004138311765527702,0.00040842265193208327,5739308.0
